,data,local,tipo_leito,total,ocupados,percentual_ocupados
104,05/06/2020,Interior,Leitos Clínicos,245,179,73%
105,19/06/2020,Estado,UTI,219,183,84%
106,19/06/2020,Maceió,UTI,154,130,84%
107,19/06/2020,Interior,UTI,65,53,82%
108,19/06/2020,Estado,U intermediária,31,10,32%
109,19/06/2020,Maceió,U intermediária,17,1,6%
110,19/06/2020,Interior,U intermediária,14,9,64%
111,19/06/2020,Estado,Leitos Clínicos,855,462,54%
112,19/06/2020,Maceió,Leitos Clínicos,580,293,51%
113,19/06/2020,Interior,Leitos Clínicos,275,169,61%
114,16/11/2020,Estado,UTI,171,56,33%
115,16/11/2020,Maceió,UTI,100,33,33%
116,16/11/2020,Interior,UTI,71,23,32%
117,16/11/2020,Estado,U intermediária,51,1,2%
118,16/11/2020,Maceió,U intermediária,37,1,3%
119,16/11/2020,Interior,U intermediária,14,0,0%
120,16/11/2020,Estado,Resumo Leitos c/ Respirador,222,57,26%
121,16/11/2020,Maceió,Resumo Leitos c/ Respirador,137,34,25%
122,16/11/2020,Interior,Resumo Leitos c/ Respirador,85,23,27%
123,16/11/2020,Estado,Leitos Clínicos,552,74,13%
124,16/11/2020,Maceió,Leitos Clínicos,244,30,12%
125,16/11/2020,Interior,Leitos Clínicos,308,44,14%
126,"6/05/2020,",Estado,UTI,145,87,60%
127,"6/05/2020,",Maceió,UTI,105,72,69%
128,"6/05/2020,",Interior,UTI,40,15,38%
129,"6/05/2020,",Estado,U intermediária,31,7,23%
130,"6/05/2020,",Maceió,U intermediária,17,6,35%
131,"6/05/2020,",Interior,U intermediária,14,1,7%
132,"6/05/2020,",Leitos Clínicos,Leitos Clínicos,279,147,53%
133,"6/05/2020,",Maceió,Maceió,184,124,67%
134,4/07/2020,UTI,UTI,252,207,82%
135,4/07/2020,Maceió,UTI,165,140,85%
136,4/07/2020,Interior,UTI,87,67,77%
137,4/07/2020,U intermediária,U intermediária,51,15,29%
138,4/07/2020,Maceió,U intermediária,37,12,32%
139,4/07/2020,Interior,U intermediária,14,3,21%
140,4/07/2020,Leitos Clínicos,Leitos Clínicos,935,402,43%
141,4/07/2020,Maceió,Leitos Clínicos,580,210,36%
142,4/07/2020,Interior,Leitos Clínicos,355,192,54%
143,4/07/2020,TOTAL,TOTAL,1238,624,50%
144,4/07/2020,,,,,
145,POR TIPO DE LEITO,Estado,TI,207,140,68%
146,POR TIPO DE LEITO,Maceió,TI,149,100,67%
147,POR TIPO DE LEITO,Interior,TI,58,40,69%
148,POR TIPO DE LEITO,intermediária,intermediária,31,16,52%
149,POR TIPO DE LEITO,Maceió,Maceió,17,14,82%
150,17/11/2020,Estado,UTI,171,55,32%
151,17/11/2020,Maceió,UTI,100,33,33%
152,17/11/2020,Interior,UTI,71,22,31%
153,17/11/2020,Estado,U intermediária,51,2,4%
154,17/11/2020,Maceió,U intermediária,37,2,5%
155,17/11/2020,Interior,U intermediária,14,0,0%
156,17/11/2020,Estado,Resumo Leitos c/ Respirador,222,57,26%
157,17/11/2020,Maceió,Resumo Leitos c/ Respirador,137,35,26%
158,17/11/2020,Interior,Resumo Leitos c/ Respirador,85,22,26%
159,17/11/2020,Estado,Leitos Clínicos,552,66,12%
160,17/11/2020,Maceió,Leitos Clínicos,244,30,12%
161,17/11/2020,Interior,Leitos Clínicos,308,36,12%
162,"5/2020, às",Estado,UTI,145,87,60%
163,"5/2020, às",Maceió,UTI,105,69,66%
164,"5/2020, às",Interior,UTI,40,18,45%
165,"5/2020, às",Estado,U intermediária,31,10,32%
166,"5/2020, às",Maceió,U intermediária,17,9,53%
167,"5/2020, às",Interior,U intermediária,14,1,7%
168,"5/2020, às",Leitos Clínicos,Leitos Clínicos,279,142,51%
169,"5/2020, às",Maceió,Maceió,184,118,64%
170,5/07/2020,UTI,UTI,252,210,83%
171,5/07/2020,Maceió,UTI,165,138,84%
172,5/07/2020,Interior,UTI,87,72,83%
173,5/07/2020,U intermediária,U intermediária,51,18,35%
174,5/07/2020,Maceió,U intermediária,37,15,41%
175,5/07/2020,Interior,U intermediária,14,3,21%
176,5/07/2020,Leitos Clínicos,Leitos Clínicos,935,391,42%
177,5/07/2020,Maceió,Leitos Clínicos,580,206,36%
178,5/07/2020,Interior,Leitos Clínicos,355,185,52%
179,5/07/2020,TOTAL,TOTAL,1238,619,50%
180,5/07/2020,,,,,
181,POR TIPO DE LEITO,Estado,TI,207,142,69%
182,POR TIPO DE LEITO,Maceió,TI,149,104,70%
183,POR TIPO DE LEITO,Interior,TI,58,38,66%
184,POR TIPO DE LEITO,intermediária,intermediária,31,15,48%
185,POR TIPO DE LEITO,Maceió,Maceió,17,12,71%
186,8/11/2020,Estado,UTI,171,59,35%
187,8/11/2020,Maceió,UTI,100,35,35%
188,8/11/2020,Interior,UTI,71,24,34%
189,8/11/2020,Estado,U intermediária,51,3,6%
190,8/11/2020,Maceió,U intermediária,37,2,5%
191,8/11/2020,Interior,U intermediária,14,1,7%
192,8/11/2020,Estado,Resumo Leitos c/ Respirador,222,62,28%
193,8/11/2020,Maceió,Resumo Leitos c/ Respirador,137,37,27%
194,8/11/2020,Interior,Resumo Leitos c/ Respirador,85,25,29%
195,8/11/2020,Estado,Leitos Clínicos,552,73,13%
196,8/11/2020,Maceió,Leitos Clínicos,244,32,13%
197,8/11/2020,Interior,Leitos Clínicos,308,41,13%
198,06/06/2020,Estado,UTI,217,175,81%
199,06/06/2020,Maceió,UTI,154,119,77%
200,06/06/2020,Interior,UTI,63,56,89%
201,06/06/2020,Estado,U intermediária,31,12,39%
202,06/06/2020,Maceió,U intermediária,17,5,29%
203,06/06/2020,Interior,U intermediária,14,7,50%
204,06/06/2020,Estado,Leitos Clínicos,821,491,60%
205,06/06/2020,Maceió,Leitos Clínicos,576,319,55%
206,06/06/2020,Interior,Leitos Clínicos,245,172,70%
207,6/07/2020,UTI,UTI,252,202,80%
208,6/07/2020,Maceió,UTI,165,134,81%
209,6/07/2020,Interior,UTI,87,68,78%
210,6/07/2020,U intermediária,U intermediária,51,21,41%
211,6/07/2020,Maceió,U intermediária,37,18,49%
212,6/07/2020,Interior,U intermediária,14,3,21%
213,6/07/2020,Leitos Clínicos,Leitos Clínicos,935,365,39%
214,6/07/2020,Maceió,Leitos Clínicos,580,185,32%
215,6/07/2020,Interior,Leitos Clínicos,355,180,51%
216,6/07/2020,TOTAL,TOTAL,1238,588,47%
217,6/07/2020,,,,,
218,20/06/2020,Estado,UTI,239,195,82%
219,20/06/2020,Maceió,UTI,164,140,85%
220,20/06/2020,Interior,UTI,75,55,73%
221,20/06/2020,Estado,U intermediária,31,12,39%
222,20/06/2020,Maceió,U intermediária,17,3,18%
223,20/06/2020,Interior,U intermediária,14,9,64%
224,20/06/2020,Estado,Leitos Clínicos,891,428,48%
225,20/06/2020,Maceió,Leitos Clínicos,580,274,47%
226,20/06/2020,Interior,Leitos Clínicos,311,154,50%
227,0/11/2020,Estado,UTI,151,63,42%
228,0/11/2020,Maceió,UTI,80,36,45%
229,0/11/2020,Interior,UTI,71,27,38%
230,0/11/2020,Estado,U intermediária,33,3,9%
231,0/11/2020,Maceió,U intermediária,19,2,11%
232,0/11/2020,Interior,U intermediária,14,1,7%
233,0/11/2020,Estado,Resumo Leitos c/ Respirador,184,66,36%
234,0/11/2020,Maceió,Resumo Leitos c/ Respirador,99,38,38%
235,0/11/2020,Interior,Resumo Leitos c/ Respirador,85,28,33%
236,0/11/2020,Estado,Leitos Clínicos,336,78,23%
237,0/11/2020,Maceió,Leitos Clínicos,115,38,33%
238,0/11/2020,Interior,Leitos Clínicos,221,40,18%
239,"5/2020, às",Estado,UTI,145,97,67%
240,"5/2020, às",Maceió,UTI,105,75,71%
241,"5/2020, às",Interior,UTI,40,22,55%
242,"5/2020, às",Estado,U intermediária,31,8,26%
243,"5/2020, às",Maceió,U intermediária,17,8,47%
244,"5/2020, às",Interior,U intermediária,14,0,0%
245,"5/2020, às",Leitos Clínicos,Leitos Clínicos,289,144,50%
246,"5/2020, às",Maceió,Maceió,194,119,61%
247,7/07/2020,UTI,UTI,262,185,71%
248,7/07/2020,Maceió,UTI,165,126,76%
249,7/07/2020,Interior,UTI,97,59,61%
250,7/07/2020,U intermediária,U intermediária,51,20,39%
251,7/07/2020,Maceió,U intermediária,37,17,46%
252,7/07/2020,Interior,U intermediária,14,3,21%
253,7/07/2020,Leitos Clínicos,Leitos Clínicos,985,382,39%
254,7/07/2020,Maceió,Leitos Clínicos,580,183,32%
255,7/07/2020,Interior,Leitos Clínicos,405,199,49%
256,7/07/2020,TOTAL,TOTAL,1298,587,45%
257,7/07/2020,,,,,
258,POR TIPO DE LEITO,Estado,TI,207,146,71%
259,POR TIPO DE LEITO,Maceió,TI,149,103,69%
260,POR TIPO DE LEITO,Interior,TI,58,43,74%
261,POR TIPO DE LEITO,intermediária,intermediária,31,19,61%
262,POR TIPO DE LEITO,Maceió,Maceió,17,16,94%
263,1/11/2020,Estado,UTI,151,65,43%
264,1/11/2020,Maceió,UTI,80,36,45%
265,1/11/2020,Interior,UTI,71,29,41%
266,1/11/2020,Estado,U intermediária,33,2,6%
267,1/11/2020,Maceió,U intermediária,19,2,11%
268,1/11/2020,Interior,U intermediária,14,0,0%
269,1/11/2020,Estado,Resumo Leitos c/ Respirador,184,67,36%
270,1/11/2020,Maceió,Resumo Leitos c/ Respirador,99,38,38%
271,1/11/2020,Interior,Resumo Leitos c/ Respirador,85,29,34%
272,1/11/2020,Estado,Leitos Clínicos,331,86,26%
273,1/11/2020,Maceió,Leitos Clínicos,115,41,36%
274,1/11/2020,Interior,Leitos Clínicos,216,45,21%
275,"5/2020, às",Estado,UTI,145,90,62%
276,"5/2020, às",Maceió,UTI,105,71,68%
277,"5/2020, às",Interior,UTI,40,19,48%
278,"5/2020, às",Estado,U intermediária,31,6,19%
279,"5/2020, às",Maceió,U intermediária,17,5,29%
280,"5/2020, às",Interior,U intermediária,14,1,7%
281,"5/2020, às",Leitos Clínicos,Leitos Clínicos,289,141,49%
282,"5/2020, às",Maceió,Maceió,194,118,61%
283,POR TIPO DE LEITO,Estado,TI,207,145,70%
284,POR TIPO DE LEITO,Maceió,TI,149,102,68%
285,POR TIPO DE LEITO,Interior,TI,58,43,74%
286,POR TIPO DE LEITO,intermediária,intermediária,31,21,68%
287,POR TIPO DE LEITO,Maceió,Maceió,17,17,100%
288,"26/06/2020,",Estado,UTI,247,205,83%
289,"26/06/2020,",Maceió,UTI,165,137,83%
290,"26/06/2020,",Interior,UTI,82,68,83%
291,"26/06/2020,",Estado,U intermediária,31,4,13%
292,"26/06/2020,",Maceió,U intermediária,17,1,6%
293,"26/06/2020,",Interior,U intermediária,14,3,21%
294,"26/06/2020,",Estado,Leitos Clínicos,909,451,50%
295,"26/06/2020,",Maceió,Leitos Clínicos,580,255,44%
296,"26/06/2020,",Interior,Leitos Clínicos,329,196,60%
297,2/11/2020,Estado,UTI,151,66,44%
298,2/11/2020,Maceió,UTI,80,35,44%
299,2/11/2020,Interior,UTI,71,31,44%
300,2/11/2020,Estado,U intermediária,33,5,15%
301,2/11/2020,Maceió,U intermediária,19,3,16%
302,2/11/2020,Interior,U intermediária,14,2,14%
303,2/11/2020,Estado,Resumo Leitos c/ Respirador,184,71,39%
304,2/11/2020,Maceió,Resumo Leitos c/ Respirador,99,38,38%
305,2/11/2020,Interior,Resumo Leitos c/ Respirador,85,33,39%
306,2/11/2020,Estado,Leitos Clínicos,331,87,26%
307,2/11/2020,Maceió,Leitos Clínicos,115,43,37%
308,2/11/2020,Interior,Leitos Clínicos,216,44,20%
309,25/06/2020,Estado,UTI,247,188,76%
310,25/06/2020,Maceió,UTI,165,125,76%
311,25/06/2020,Interior,UTI,82,63,77%
312,25/06/2020,Estado,U intermediária,31,4,13%
313,25/06/2020,Maceió,U intermediária,17,1,6%
314,25/06/2020,Interior,U intermediária,14,3,21%
315,25/06/2020,Estado,Leitos Clínicos,909,426,47%
316,25/06/2020,Maceió,Leitos Clínicos,580,240,41%
317,25/06/2020,Interior,Leitos Clínicos,329,186,57%
318,7/06/2020,UTI,UTI,252,212,84%
319,7/06/2020,Maceió,UTI,165,150,91%
320,7/06/2020,Interior,UTI,87,62,71%
321,7/06/2020,U intermediária,U intermediária,51,21,41%
322,7/06/2020,Maceió,U intermediária,37,19,51%
323,7/06/2020,Interior,U intermediária,14,2,14%
324,7/06/2020,Leitos Clínicos,Leitos Clínicos,915,443,48%
325,7/06/2020,Maceió,Leitos Clínicos,580,262,45%
326,7/06/2020,Interior,Leitos Clínicos,335,181,54%
327,7/06/2020,TOTAL,TOTAL,1218,676,56%
328,7/06/2020,,,,,
329,14/12/2020,Estado,UTI,169,75,44%
330,14/12/2020,Maceió,UTI,100,48,48%
331,14/12/2020,Interior,UTI,69,27,39%
332,14/12/2020,Estado,U intermediária,33,6,18%
333,14/12/2020,Maceió,U intermediária,19,5,26%
334,14/12/2020,Interior,U intermediária,14,1,7%
335,14/12/2020,Estado,Resumo Leitos c/ Respirador,202,81,40%
336,14/12/2020,Maceió,Resumo Leitos c/ Respirador,119,53,45%
337,14/12/2020,Interior,Resumo Leitos c/ Respirador,83,28,34%
338,14/12/2020,Estado,Leitos Clínicos,376,134,36%
339,14/12/2020,Maceió,Leitos Clínicos,155,77,50%
340,14/12/2020,Interior,Leitos Clínicos,221,57,26%
341,"9/05/2020,",Estado,UTI,145,99,68%
342,"9/05/2020,",Maceió,UTI,105,75,71%
343,"9/05/2020,",Interior,UTI,40,24,60%
344,"9/05/2020,",Estado,U intermediária,31,14,45%
345,"9/05/2020,",Maceió,U intermediária,17,13,76%
346,"9/05/2020,",Interior,U intermediária,14,1,7%
347,"9/05/2020,",Leitos Clínicos,Leitos Clínicos,319,164,51%
348,"9/05/2020,",Maceió,Maceió,204,134,66%
349,25/06/2020,Estado,UTI,247,213,86%
350,25/06/2020,Maceió,UTI,165,145,88%
351,25/06/2020,Interior,UTI,82,68,83%
352,25/06/2020,Estado,U intermediária,31,4,13%
353,25/06/2020,Maceió,U intermediária,17,0,0%
354,25/06/2020,Interior,U intermediária,14,4,29%
355,25/06/2020,Estado,Leitos Clínicos,909,447,49%
356,25/06/2020,Maceió,Leitos Clínicos,580,270,47%
357,25/06/2020,Interior,Leitos Clínicos,329,177,54%
358,15/12/2020,Estado,UTI,169,78,46%
359,15/12/2020,Maceió,UTI,100,51,51%
360,15/12/2020,Interior,UTI,69,27,39%
361,15/12/2020,Estado,U intermediária,33,8,24%
362,15/12/2020,Maceió,U intermediária,19,6,32%
363,15/12/2020,Interior,U intermediária,14,2,14%
364,15/12/2020,Estado,Resumo Leitos c/ Respirador,202,86,43%
365,15/12/2020,Maceió,Resumo Leitos c/ Respirador,119,57,48%
366,15/12/2020,Interior,Resumo Leitos c/ Respirador,83,29,35%
367,15/12/2020,Estado,Leitos Clínicos,376,131,35%
368,15/12/2020,Maceió,Leitos Clínicos,155,75,48%
369,15/12/2020,Interior,Leitos Clínicos,221,56,25%
370,8/06/2020,UTI,UTI,252,214,85%
371,8/06/2020,Maceió,UTI,165,154,93%
372,8/06/2020,Interior,UTI,87,60,69%
373,8/06/2020,U intermediária,U intermediária,51,23,45%
374,8/06/2020,Maceió,U intermediária,37,21,57%
375,8/06/2020,Interior,U intermediária,14,2,14%
376,8/06/2020,Leitos Clínicos,Leitos Clínicos,915,455,50%
377,8/06/2020,Maceió,Leitos Clínicos,580,257,44%
378,8/06/2020,Interior,Leitos Clínicos,335,198,59%
379,8/06/2020,TOTAL,TOTAL,1218,692,57%
380,8/06/2020,,,,,
381,"9/05/2020,",Estado,UTI,145,101,70%
382,"9/05/2020,",Maceió,UTI,105,73,70%
383,"9/05/2020,",Interior,UTI,40,28,70%
384,"9/05/2020,",Estado,U intermediária,31,14,45%
385,"9/05/2020,",Maceió,U intermediária,17,13,76%
386,"9/05/2020,",Interior,U intermediária,14,1,7%
387,"9/05/2020,",Leitos Clínicos,Leitos Clínicos,319,177,55%
388,"9/05/2020,",Maceió,Maceió,204,139,68%
389,26/05/2020,Estado,UTI,204,162,79%
390,26/05/2020,Maceió,UTI,149,115,77%
391,26/05/2020,Interior,UTI,55,47,85%
392,26/05/2020,Estado,U intermediária,31,18,58%
393,26/05/2020,Maceió,U intermediária,17,13,76%
394,26/05/2020,Interior,U intermediária,14,5,36%
395,26/05/2020,Estado,Leitos Clínicos,726,378,52%
396,26/05/2020,Maceió,Leitos Clínicos,506,254,50%
397,26/05/2020,Interior,Leitos Clínicos,220,124,56%
398,17/12/2020,Estado,UTI,174,89,51%
399,17/12/2020,Maceió,UTI,100,61,61%
400,17/12/2020,Interior,UTI,74,28,38%
401,17/12/2020,Estado,U intermediária,33,7,21%
402,17/12/2020,Maceió,U intermediária,19,6,32%
403,17/12/2020,Interior,U intermediária,14,1,7%
404,17/12/2020,Estado,Resumo Leitos c/ Respirador,207,96,46%
405,17/12/2020,Maceió,Resumo Leitos c/ Respirador,119,67,56%
406,17/12/2020,Interior,Resumo Leitos c/ Respirador,88,29,33%
407,17/12/2020,Estado,Leitos Clínicos,394,111,28%
408,17/12/2020,Maceió,Leitos Clínicos,155,66,43%
409,17/12/2020,Interior,Leitos Clínicos,239,45,19%
410,9/06/2020,UTI,UTI,252,218,87%
411,9/06/2020,Maceió,UTI,165,156,95%
412,9/06/2020,Interior,UTI,87,62,71%
413,9/06/2020,U intermediária,U intermediária,51,21,41%
414,9/06/2020,Maceió,U intermediária,37,19,51%
415,9/06/2020,Interior,U intermediária,14,2,14%
416,9/06/2020,Leitos Clínicos,Leitos Clínicos,915,437,48%
417,9/06/2020,Maceió,Leitos Clínicos,580,248,43%
418,9/06/2020,Interior,Leitos Clínicos,335,189,56%
419,9/06/2020,TOTAL,TOTAL,1218,676,56%
420,9/06/2020,,,,,
421,09/06/2020,Estado,UTI,219,172,79%
422,09/06/2020,Maceió,UTI,154,124,81%
423,09/06/2020,Interior,UTI,65,48,74%
424,09/06/2020,Estado,U intermediária,31,5,16%
425,09/06/2020,Maceió,U intermediária,17,3,18%
426,09/06/2020,Interior,U intermediária,14,2,14%
427,09/06/2020,Estado,Leitos Clínicos,830,503,61%
428,09/06/2020,Maceió,Leitos Clínicos,580,309,53%
429,09/06/2020,Interior,Leitos Clínicos,250,194,78%
430,27/05/2020,Estado,UTI,204,151,74%
431,27/05/2020,Maceió,UTI,149,106,71%
432,27/05/2020,Interior,UTI,55,45,82%
433,27/05/2020,Estado,U intermediária,31,17,55%
434,27/05/2020,Maceió,U intermediária,17,12,71%
435,27/05/2020,Interior,U intermediária,14,5,36%
436,27/05/2020,Estado,Leitos Clínicos,726,392,54%
437,27/05/2020,Maceió,Leitos Clínicos,506,257,51%
438,27/05/2020,Interior,Leitos Clínicos,220,135,61%
439,18/12/2020,Estado,UTI,174,84,48%
440,18/12/2020,Maceió,UTI,100,53,53%
441,18/12/2020,Interior,UTI,74,31,42%
442,18/12/2020,Estado,U intermediária,33,5,15%
443,18/12/2020,Maceió,U intermediária,19,5,26%
444,18/12/2020,Interior,U intermediária,14,0,0%
445,18/12/2020,Estado,Resumo Leitos c/ Respirador,207,89,43%
446,18/12/2020,Maceió,Resumo Leitos c/ Respirador,119,58,49%
447,18/12/2020,Interior,Resumo Leitos c/ Respirador,88,31,35%
448,18/12/2020,Estado,Leitos Clínicos,394,121,31%
449,18/12/2020,Maceió,Leitos Clínicos,155,69,45%
450,18/12/2020,Interior,Leitos Clínicos,239,52,22%
451,9/06/2020,UTI,UTI,252,224,89%
452,9/06/2020,Maceió,UTI,165,159,96%
453,9/06/2020,Interior,UTI,87,65,75%
454,9/06/2020,U intermediária,U intermediária,51,22,43%
455,9/06/2020,Maceió,U intermediária,37,18,49%
456,9/06/2020,Interior,U intermediária,14,4,29%
457,9/06/2020,Leitos Clínicos,Leitos Clínicos,915,453,50%
458,9/06/2020,Maceió,Leitos Clínicos,580,262,45%
459,9/06/2020,Interior,Leitos Clínicos,335,191,57%
460,9/06/2020,TOTAL,TOTAL,1218,699,57%
461,9/06/2020,,,,,
462,10/05/202,Estado,UTI,145,103,71%
463,10/05/202,Maceió,UTI,105,77,73%
464,10/05/202,Interior,UTI,40,26,65%
465,10/05/202,Estado,U intermediária,31,14,45%
466,10/05/202,Maceió,U intermediária,17,13,76%
467,10/05/202,Interior,U intermediária,14,1,7%
468,10/05/202,Leitos Clínicos,Leitos Clínicos,319,175,55%
469,10/05/202,Maceió,Maceió,204,136,67%
470,27/05/2020,Estado,UTI,206,152,74%
471,27/05/2020,Maceió,UTI,151,107,71%
472,27/05/2020,Interior,UTI,55,45,82%
473,27/05/2020,Estado,U intermediária,31,17,55%
474,27/05/2020,Maceió,U intermediária,17,14,82%
475,27/05/2020,Interior,U intermediária,14,3,21%
476,27/05/2020,Estado,Leitos Clínicos,743,398,54%
477,27/05/2020,Maceió,Leitos Clínicos,518,259,50%
478,27/05/2020,Interior,Leitos Clínicos,225,139,62%
479,"9/12/2020,",Estado,UTI,174,88,51%
480,"9/12/2020,",Maceió,UTI,100,57,57%
481,"9/12/2020,",Interior,UTI,74,31,42%
482,"9/12/2020,",Estado,U intermediária,33,5,15%
483,"9/12/2020,",Maceió,U intermediária,19,5,26%
484,"9/12/2020,",Interior,U intermediária,14,0,0%
485,"9/12/2020,",Estado,Resumo Leitos c/ Respirador,207,93,45%
486,"9/12/2020,",Maceió,Resumo Leitos c/ Respirador,119,62,52%
487,"9/12/2020,",Interior,Resumo Leitos c/ Respirador,88,31,35%
488,"9/12/2020,",Estado,Leitos Clínicos,394,117,30%
489,"9/12/2020,",Maceió,Leitos Clínicos,155,67,43%
490,"9/12/2020,",Interior,Leitos Clínicos,239,50,21%
491,0/06/2020,UTI,UTI,252,209,83%
492,0/06/2020,Maceió,UTI,165,145,88%
493,0/06/2020,Interior,UTI,87,64,74%
494,0/06/2020,U intermediária,U intermediária,51,22,43%
495,0/06/2020,Maceió,U intermediária,37,20,54%
